text,symptom_id,symptom_name,severity,esi_label,language,source,base_weight
My experience is that pain in shoulder tip with period.,S020,shoulder_tip_pain,moderate,Moderate,en,synthetic,6
I want you to know that pain when going to the toilet.,S009,dyschezia,severe,High,en-KE,synthetic,9
My experience is that hard to pass stool during period.,S011,constipation_cyclical,moderate,Moderate,en,synthetic,6
I told the doctor that I cannot function during my period.,S001,dysmenorrhoea,mild,Moderate,en-KE,synthetic,10
I have cannot pass anything.,S011,constipation_cyclical,critical,High,en,synthetic,6
I want you to know that hot and sweaty during period.,S024,fever_cyclical,severe,Moderate,en,synthetic,5
The problem I have is that bowels go crazy during period.,S012,diarrhoea_cyclical,critical,High,en,synthetic,5
"I have been dealing with on medication for depression for a while now, for 3 months now.",S029,depression,severe,Moderate,en,synthetic,5
Every month I suffer from no one believed me.,S038,previous_misdiagnosis,severe,Moderate,en-KE,synthetic,6
I cannot work properly because of feel feverish during period.,S024,fever_cyclical,critical,High,en,synthetic,5
"For the past few months I have had extreme sleep problems, for the past 36 months.",S031,sleep_disturbance,critical,Moderate,en,synthetic,4
"Nimekuwa na nimechoka sana kila wakati kwa muda mrefu, for 24 years.",S022,fatigue_chronic,mild,Low,sw,synthetic,7
Tatizo langu kuu ni nimechoka sana kila wakati.,S022,fatigue_chronic,mild,Low,sw,synthetic,7
pain wakes me at night.,S031,sleep_disturbance,moderate,Low,en,synthetic,4
I experience diarrhoea every period regularly.,S012,diarrhoea_cyclical,moderate,Low,en,synthetic,5
I want you to know that blood when not on period.,S004,intermenstrual_bleeding,critical,High,en,synthetic,6
I experience unbearable sex has become impossible regularly.,S006,dyspareunia_deep,critical,Critical,en,synthetic,9
"I am here because miss school from period pain, for over 3 months.",S036,work_school_absence,severe,Moderate,en-KE,synthetic,7
I came to the clinic because of unbearable pain below belly button.,S002,chronic_pelvic_pain,critical,Critical,en,synthetic,10
I want you to know that pain at the entrance during sex.,S007,dyspareunia_superficial,moderate,Moderate,en,synthetic,6
Since I was young I have had pain passing urine.,S015,dysuria,critical,High,en-KE,synthetic,7
I experience severe low haemoglobin regularly.,S023,anaemia,severe,Moderate,en,synthetic,6
I have depression.,S029,depression,critical,High,en,synthetic,5
My main problem is struggling to conceive.,S026,infertility,critical,Critical,en,synthetic,9
My main problem is lower back pain.,S018,lower_back_pain,critical,High,en,synthetic,7
Nina hedhi nyingi sana.,S005,heavy_menstrual_bleeding,critical,High,sw,synthetic,7
I have nearly faint during period.,S025,fainting_syncope,moderate,Moderate,en,synthetic,8
